"Date / Time","City","State","Shape","Duration","Summary","Posted"
"11/29/14 11:00","Burke","VA","Cigar","3-5 seconds","Low, fast moving descending jet-like object without sound and nose tilted up.","12/5/14"
"11/29/14 05:15","Cumberland","RI","Circle","6 minutes","Leaving my house for coffee the noticed a ball of light extremely quiet no noise also big in size flying S the as 1 object.","12/5/14"
"11/29/14 03:30","Colorado Springs","CO","Unknown","3 minutes","Red and green lights over Olympic Training Center.","12/5/14"
"11/28/14 23:40","Farmington Hills","MI","Fireball","5 minutes","Fireball in Farmington Hills, Michigan.","12/5/14"
"11/28/14 23:30","Cape Carteret (Emerald Isle)","NC","Fireball","8-10 minutes","Floating red orbs in the sky off Emerald Isle, NC.","12/5/14"
"11/28/14 22:40","Berlin","MD","Unknown","Still happening","Object in the sky on Maryland's eastern shore.  ((NUFORC Note:  Possible sighting of a ""twinkling"" star?  PD))","12/5/14"
"11/28/14 22:18","Greenville","NC","Fireball","10 minutes","Slow moving fireball type objects moved upward in the sky before disappearing.","12/5/14"
"11/28/14 21:40","Raleigh","NC","Other","3-5 minutes","Multiple crafts delineated by bright, burnt orange colored lights over I-40 by Raleigh.","12/5/14"
"11/28/14 20:00","Albuquerque (Kirtland AFB)","NM","Formation","15-30 seconds","Saw formation of a lot shape with bright orange lights hovering over Albuquerque  airport area.  All were little then faded.","12/5/14"
"11/28/14 19:50","Arvada","CO","Light","20 minutes","Orange ""orb"" up in Lookout Mountain in Golden.","12/5/14"
"11/28/14 19:35","Conshohocken","PA","Other",":30","Extremely fast moving, v-shaped object.","12/5/14"
"11/28/14 19:00","Mountlake Terrace","WA","Formation","30 min","Yellow/red strange lights in V shape.","12/5/14"
"11/28/14 15:15","Gainesville","FL","Flash","1 seconds","Uniform flash of light seen inside, no source discovered.","12/5/14"
"11/28/14 06:00","Marysville","MI","Unknown","2 minutes","Facing west and looking upward at about a 60 degree angle, I noticed a perfect equilateral triangle of what appeared to be stars.","12/5/14"
"11/28/14 04:00","Centerville","OH","Light","2 minutes","Bright green light with small red and white flashing lights hovering in one spot.","12/5/14"
"11/27/14 23:00","Santa Barbara County","CA","Circle","5 minutes","White orb appeared then flashed twice then moved quickly across the sky.","12/5/14"
"11/27/14 23:00","Lehighton","PA","Light",":0030","Two green lights following my vehicle on the Pennsylvania Turnpike.  ((NUFORC Note:  Report from member of law enforcement.  PD))","12/5/14"
"11/27/14 22:20","Oxnard","CA","Sphere","3 minutes","Orange planet orb.","12/5/14"
"11/27/14 21:48","Lennox","CA","Fireball","36 seconds","((HOAX??))  Three orange fireballs in the sky.  They were shifting from side to side at first.","12/5/14"
"11/27/14 21:30","Custer","WA","Unknown","45 second","Partically delta-shaped object with two very bright forward lights.","12/5/14"
"11/27/14 21:30","Kingsland","GA","Disk","30 seconds","Saucer-shaped ufo hovering next to I 95 south near Jacksonville, FL, airport with lights blinking on and off.","12/5/14"
"11/27/14 21:30","Ormond Beach","FL","Other","45 sec","I saw a glowing, orange colored burning flame for 45 seconds moving from west to east.","12/5/14"
"11/27/14 20:35","Miami","FL","Light","5 minutes","Orange orbs.","12/5/14"
"11/27/14 20:00","Harrisburg","PA","Light","1:30","Red-orange, oval shaped light spotted over the Susquehanna River.","12/5/14"
"11/27/14 20:00","Phoenix (northwest part)","AZ","Fireball","2 minutes","Large fireball with lights.","12/5/14"
"11/27/14 20:00","Sonoma","CA","Light","9 minutes","A powerful blue beam of light 20-30 miles long at least with a very slow rotation. It was not coming from the ground.","12/5/14"
"11/27/14 19:45","Gurnee","IL","Sphere","5 minutes","Bright yellow-orange lights moving west over Lake County, IL.","12/5/14"
"11/27/14 18:45","Santa Barbara","CA","","5 seconds apart","White bright flash lit hole sky twice 5 seconds apart.","12/5/14"
"11/27/14 18:45","Phoenix","AZ","Diamond","15 minutes","They were close enough to get a good look but not a good recording. I was driving on the I17. Just past the airport and on the righ","12/5/14"
"11/27/14 18:35","Manassas","VA","Light","10 minutes","6 red lights near Lake Jackson.","12/5/14"
"11/27/14 18:16","DeLand","FL","Fireball","1 minute","3 yellow-orange fireballs flying in a triangle formation from north to south, then a single one followed.","12/5/14"
